time_s,P_drive_W,P_hvac_W,P_chiller_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
42.75,-4500.957619198682,3117.474866912383,0.0,0.0,-1383.4827522862988,30.39661965151742,30.655635232068732,0.5500021032339176,0.5250003624498322
43.0,-2986.046709283132,3117.009349374058,0.0,58.933188040916704,72.02945205000931,30.398816719411013,30.659189990358602,0.550002103298115,0.5250003628944584
43.25,-3460.9412001817304,3116.54402576097,0.0,0.0,-344.3971744207606,30.40101273915761,30.66274156293831,0.550002103298115,0.52500036076855
43.5,-3917.4047415417026,3116.078895992334,0.0,0.0,-801.3258455493688,30.403207710350287,30.66629024616158,0.550002103298115,0.5250003558220941
43.75,-4276.916110283648,3115.613959987398,0.0,0.0,-1161.3021502962497,30.405401633943075,30.669836101964126,0.550002103298115,0.5250003486535624
44.0,-3602.557579065008,3115.149217665444,0.0,0.0,-487.408361399564,30.407594510435967,30.673379159242838,0.550002103298115,0.5250003456448687
44.25,-4204.888240070059,3114.684668945788,0.0,0.0,-1090.2035711242706,30.409786340328715,30.676919156259533,0.550002103298115,0.525000338915217
44.5,-5922.282025555913,3114.220313747778,0.0,0.0,-2808.0617118081345,30.41197712412083,30.680456395062944,0.550002103298115,0.5250003215815028
44.75,-4369.831836731585,3113.7561519907977,0.0,0.0,-1256.0756847407874,30.414166862311593,30.68399171259559,0.550002103298115,0.5250003138279492
45.0,-4864.29893190636,3113.2921835942634,0.0,0.0,-1751.0067483120965,30.416355555400035,30.687523221304453,0.550002103298115,0.5250003030192656
45.25,-5072.842503631775,3112.828408477625,0.0,0.0,-1960.0140951541498,30.41854320388496,30.691052056812826,0.550002103298115,0.5250002909204131
45.5,-4327.731200371277,3112.3648265603656,0.0,0.0,-1215.3663738109112,30.420729808264923,30.694578117779592,0.550002103298115,0.5250002834181515
45.75,-4839.140397868584,3111.9014377620024,0.0,0.0,-1727.2389601065815,30.42291536903825,30.698100950277087,0.550002103298115,0.5250002727561827
46.0,-7102.126464673958,3111.4382420020866,0.0,0.0,-3990.6882226718717,30.425099886703027,30.70162111928797,0.550002103298115,0.5250002481223047
46.25,-3373.487166566001,3110.975239200201,0.0,0.0,-262.51192736580015,30.4272833617571,30.70514028845387,0.550002103298115,0.5250002465018607
46.5,-3624.856619817319,3110.512429275964,0.0,0.0,-514.3441905413547,30.429465794698082,30.708654274593453,0.550002103298115,0.5250002433268965
46.75,-4361.2721984647205,3110.0498121490273,0.0,0.0,-1251.2223863156933,30.43164718602334,30.712165414077184,0.550002103298115,0.5250002356033016
